"Pressure","Velocity:0","Velocity:1","Velocity:2","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Heat_Flux","Y_Plus","Eddy_Viscosity","Points:0","Points:1","Points:2"
-0.053856,0,0,0,0,-0.10771,1,1.6667e-07,0.0027008,0.0002646,0,-0,0.18025,0,0.69875,-0.035832,0
-0.056295,0,0,0,0,-0.11259,1,1.6667e-07,0.0027233,0.00026354,0,-0,0.18099,0,0.69023,-0.036661,0
-0.058751,0,0,0,0,-0.1175,1,1.6667e-07,0.002746,0.00026237,0,-0,0.18173,0,0.6816,-0.037491,0
-0.061224,0,0,0,0,-0.12245,1,1.6667e-07,0.002769,0.00026108,0,-0,0.18247,0,0.67286,-0.038321,0
-0.063713,0,0,0,0,-0.12743,1,1.6667e-07,0.0027922,0.00025966,0,-0,0.18322,0,0.66401,-0.03915,0
-0.06622,0,0,0,0,-0.13244,1,1.6667e-07,0.0028157,0.00025812,0,-0,0.18397,0,0.65505,-0.039977,0
-0.068745,0,0,0,0,-0.13749,1,1.6667e-07,0.0028395,0.00025644,0,-0,0.18473,0,0.646,-0.040801,0
-0.071289,0,0,0,0,-0.14258,1,1.6667e-07,0.0028636,0.00025463,0,-0,0.1855,0,0.63686,-0.04162,0
-0.073851,0,0,0,0,-0.1477,1,1.6667e-07,0.002888,0.00025266,0,-0,0.18627,0,0.62763,-0.042435,0
-0.076431,0,0,0,0,-0.15286,1,1.6667e-07,0.0029127,0.00025053,0,-0,0.18706,0,0.61831,-0.043243,0
-0.079031,0,0,0,0,-0.15806,1,1.6667e-07,0.0029378,0.00024824,0,-0,0.18784,0,0.60892,-0.044044,0
-0.081649,0,0,0,0,-0.1633,1,1.6667e-07,0.0029632,0.00024577,0,-0,0.18864,0,0.59946,-0.044836,0
-0.084285,0,0,0,0,-0.16857,1,1.6667e-07,0.002989,0.00024312,0,-0,0.18945,0,0.58993,-0.045619,0
-0.08694,0,0,0,0,-0.17388,1,1.6667e-07,0.0030153,0.00024028,0,-0,0.19026,0,0.58035,-0.046391,0
-0.089613,0,0,0,0,-0.17923,1,1.6667e-07,0.0030419,0.00023723,0,-0,0.19108,0,0.57071,-0.047151,0
-0.092302,0,0,0,0,-0.1846,1,1.6667e-07,0.0030689,0.00023397,0,-0,0.19192,0,0.56102,-0.047898,0
-0.095008,0,0,0,0,-0.19002,1,1.6667e-07,0.0030963,0.00023048,0,-0,0.19276,0,0.55129,-0.048631,0
-0.09773,0,0,0,0,-0.19546,1,1.6667e-07,0.0031242,0.00022675,0,-0,0.19361,0,0.54153,-0.049349,0
-0.10047,0,0,0,0,-0.20093,1,1.6667e-07,0.0031525,0.00022277,0,-0,0.19447,0,0.53174,-0.05005,0
-0.10321,0,0,0,0,-0.20643,1,1.6667e-07,0.0031812,0.00021853,0,-0,0.19534,0,0.52194,-0.050733,0
-0.10598,0,0,0,0,-0.21195,1,1.6667e-07,0.0032104,0.00021401,0,-0,0.19622,0,0.51212,-0.051398,0
-0.10875,0,0,0,0,-0.21749,1,1.6667e-07,0.00324,0.0002092,0,-0,0.19711,0,0.50229,-0.052043,0
-0.11153,0,0,0,0,-0.22305,1,1.6667e-07,0.00327,0.00020409,0,-0,0.19801,0,0.49246,-0.052667,0
-0.11431,0,0,0,0,-0.22863,1,1.6667e-07,0.0033005,0.00019865,0,-0,0.19892,0,0.48265,-0.053269,0
-0.11711,0,0,0,0,-0.23421,1,1.6667e-07,0.0033315,0.00019289,0,-0,0.19984,0,0.47284,-0.053848,0
-0.1199,0,0,0,0,-0.2398,1,1.6667e-07,0.0033629,0.00018678,0,-0,0.20076,0,0.46306,-0.054403,0
-0.1227,0,0,0,0,-0.24539,1,1.6667e-07,0.0033947,0.00018031,0,-0,0.2017,0,0.45331,-0.054933,0
-0.12549,0,0,0,0,-0.25098,1,1.6667e-07,0.0034269,0.00017346,0,-0,0.20264,0,0.44359,-0.055437,0
-0.12828,0,0,0,0,-0.25655,1,1.6667e-07,0.0034596,0.00016622,0,-0,0.20359,0,0.43391,-0.055915,0
-0.13106,0,0,0,0,-0.26212,1,1.6667e-07,0.0034927,0.00015858,0,-0,0.20455,0,0.42428,-0.056365,0
-0.13383,0,0,0,0,-0.26766,1,1.6667e-07,0.0035261,0.00015051,0,-0,0.20552,0,0.41471,-0.056786,0
