   XB-NEW,    YB-NEW  ,   XB-SYM   ,   YB-SYM   ,  CAMBER-Y  , CAMBER-dY/dX 
 0   0   1   1   6  
    0.058264    0.037911    0.575505    0.047595    0.000000    0.000000
    0.055910    0.037265    0.583004    0.047006    0.000000    0.000000
    0.053605    0.036611    0.590551    0.046402    0.000000    0.000000
    0.051348    0.035951    0.598146    0.045786    0.000000    0.000000
    0.049140    0.035285    0.605790    0.045155    0.000000    0.000000
    0.046980    0.034612    0.613482    0.044511    0.000000    0.000000
    0.044869    0.033932    0.621223    0.043853    0.000000    0.000000
    0.042806    0.033247    0.629013    0.043181    0.000000    0.000000
    0.040792    0.032556    0.636851    0.042496    0.000000    0.000000
    0.038826    0.031858    0.644738    0.041797    0.000000    0.000000
    0.036909    0.031155    0.652673    0.041084    0.000000    0.000000
    0.035041    0.030446    0.660657    0.040357    0.000000    0.000000
    0.033221    0.029731    0.668689    0.039616    0.000000    0.000000
    0.031449    0.029010    0.676770    0.038861    0.000000    0.000000
    0.029727    0.028284    0.684899    0.038092    0.000000    0.000000
    0.028052    0.027553    0.693077    0.037309    0.000000    0.000000
    0.026426    0.026817    0.701303    0.036512    0.000000    0.000000
    0.024849    0.026075    0.709578    0.035701    0.000000    0.000000
    0.023320    0.025328    0.717901    0.034875    0.000000    0.000000
    0.021840    0.024576    0.726273    0.034035    0.000000    0.000000
    0.020408    0.023819    0.734694    0.033181    0.000000    0.000000
    0.019025    0.023058    0.743163    0.032312    0.000000    0.000000
    0.017690    0.022291    0.751680    0.031428    0.000000    0.000000
    0.016404    0.021520    0.760247    0.030529    0.000000    0.000000
    0.015167    0.020744    0.768861    0.029616    0.000000    0.000000
    0.013978    0.019963    0.777524    0.028687    0.000000    0.000000
    0.012837    0.019178    0.786236    0.027743    0.000000    0.000000
    0.011745    0.018389    0.794996    0.026784    0.000000    0.000000
    0.010702    0.017595    0.803805    0.025809    0.000000    0.000000
    0.009707    0.016797    0.812662    0.024818    0.000000    0.000000
    0.008760    0.015995    0.821568    0.023811    0.000000    0.000000
    0.007862    0.015188    0.830522    0.022788    0.000000    0.000000
    0.007013    0.014378    0.839525    0.021749    0.000000    0.000000
    0.006212    0.013563    0.848577    0.020693    0.000000    0.000000
    0.005460    0.012744    0.857677    0.019620    0.000000    0.000000
    0.004756    0.011921    0.866825    0.018529    0.000000    0.000000
    0.004101    0.011094    0.876022    0.017422    0.000000    0.000000
    0.003494    0.010264    0.885268    0.016296    0.000000    0.000000
    0.002936    0.009429    0.894562    0.015152    0.000000    0.000000
    0.002427    0.008591    0.903904    0.013990    0.000000    0.000000
    0.001966    0.007748    0.913296    0.012809    0.000000    0.000000
    0.001553    0.006902    0.922735    0.011608    0.000000    0.000000
    0.001189    0.006053    0.932223    0.010388    0.000000    0.000000
    0.000874    0.005199    0.941760    0.009148    0.000000    0.000000
    0.000607    0.004342    0.951346    0.007888    0.000000    0.000000
    0.000388    0.003481    0.960979    0.006606    0.000000    0.000000
    0.000218    0.002616    0.970662    0.005303    0.000000    0.000000
    0.000097    0.001748    0.980393    0.003978    0.000000    0.000000
    0.000024    0.000876    0.990172    0.002631    0.000000    0.000000
    0.000000    0.000000    1.000000    0.001260    0.000000    0.000000
    0.000024   -0.000876    0.000000    0.000000    0.000000    0.000000
    0.000097   -0.001748    0.000000    0.000000    0.000000    0.000000
    0.000218   -0.002616    0.000000    0.000000    0.000000    0.000000
    0.000388   -0.003481    0.000000    0.000000    0.000000    0.000000
    0.000607   -0.004342    0.000000    0.000000    0.000000    0.000000
    0.000874   -0.005199    0.000000    0.000000    0.000000    0.000000
    0.001189   -0.006053    0.000000    0.000000    0.000000    0.000000
    0.001553   -0.006902    0.000000    0.000000    0.000000    0.000000
    0.001966   -0.007748    0.000000    0.000000    0.000000    0.000000
    0.002427   -0.008591    0.000000    0.000000    0.000000    0.000000
    0.002936   -0.009429    0.000000    0.000000    0.000000    0.000000
    0.003494   -0.010264    0.000000    0.000000    0.000000    0.000000
    0.004101   -0.011094    0.000000    0.000000    0.000000    0.000000
    0.004756   -0.011921    0.000000    0.000000    0.000000    0.000000
    0.005460   -0.012744    0.000000    0.000000    0.000000    0.000000
    0.006212   -0.013563    0.000000    0.000000    0.000000    0.000000
    0.007013   -0.014378    0.000000    0.000000    0.000000    0.000000
    0.007862   -0.015188    0.000000    0.000000    0.000000    0.000000
    0.008760   -0.015995    0.000000    0.000000    0.000000    0.000000
    0.009707   -0.016797    0.000000    0.000000    0.000000    0.000000
    0.010702   -0.017595    0.000000    0.000000    0.000000    0.000000
    0.011745   -0.018389    0.000000    0.000000    0.000000    0.000000
    0.012837   -0.019178    0.000000    0.000000    0.000000    0.000000
    0.013978   -0.019963    0.000000    0.000000    0.000000    0.000000
    0.015167   -0.020744    0.000000    0.000000    0.000000    0.000000
    0.016404   -0.021520    0.000000    0.000000    0.000000    0.000000
    0.017690   -0.022291    0.000000    0.000000    0.000000    0.000000
    0.019025   -0.023058    0.000000    0.000000    0.000000    0.000000
    0.020408   -0.023819    0.000000    0.000000    0.000000    0.000000
    0.021840   -0.024576    0.000000    0.000000    0.000000    0.000000
    0.023320   -0.025328    0.000000    0.000000    0.000000    0.000000
    0.024849   -0.026075    0.000000    0.000000    0.000000    0.000000
